"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-09-28 13:07:49.340190","10.152.5.30","csweb1.cs.uchicago.edu","TCP","78","56064 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1814174363 TSecr=0 SACK_PERM=1"
"2","2022-09-28 13:07:49.344371","csweb1.cs.uchicago.edu","10.152.5.30","TCP","66","443 > 56064 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1386 SACK_PERM=1 WS=128"
"3","2022-09-28 13:07:49.344467","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"4","2022-09-28 13:07:49.344609","10.152.5.30","csweb1.cs.uchicago.edu","TLSv1.2","571","Client Hello"
"5","2022-09-28 13:07:49.348257","csweb1.cs.uchicago.edu","10.152.5.30","TCP","56","443 > 56064 [ACK] Seq=1 Ack=518 Win=64128 Len=0"
"6","2022-09-28 13:07:49.348261","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1440","Server Hello"
"7","2022-09-28 13:07:49.348355","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=518 Ack=1387 Win=260736 Len=0"
"8","2022-09-28 13:07:49.348398","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"9","2022-09-28 13:07:49.348433","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=518 Ack=2773 Win=260736 Len=0"
"10","2022-09-28 13:07:49.349580","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1372","CertificateServer Key Exchange, Server Hello Done"
"11","2022-09-28 13:07:49.349640","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=518 Ack=4091 Win=260800 Len=0"
"12","2022-09-28 13:07:49.360602","10.152.5.30","csweb1.cs.uchicago.edu","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"13","2022-09-28 13:07:49.360650","10.152.5.30","csweb1.cs.uchicago.edu","TLSv1.2","153","Application Data"
"14","2022-09-28 13:07:49.360950","10.152.5.30","csweb1.cs.uchicago.edu","TCP","1440","[TCP segment of a reassembled PDU]"
